Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;VTR-5797955;18:35:D1:8C:AE:D9;;1;No;WPA2,AES-CCM;No;130.0;0;5;0;1;0;0;1;;;Mon Mar 18 23:30:54 2024;Mon Mar 18 23:31:18 2024;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Osorno 2263;F8:5B:3B:E4:49:AF;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Mon Mar 18 23:30:54 2024;Mon Mar 18 23:31:19 2024;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;VTR-5154377;48:D3:43:10:E7:F9;;1;No;WPA2,AES-CCM;No;130.0;0;10;0;5;0;0;5;;;Mon Mar 18 23:30:54 2024;Mon Mar 18 23:31:18 2024;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;VTR-3019414;48:D3:43:BC:7F:89;;1;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Mon Mar 18 23:30:54 2024;Mon Mar 18 23:31:18 2024;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;F4:69:42:99:11:9F;;7;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Mar 18 23:30:54 2024;Mon Mar 18 23:30:58 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Monroy;10:08:1D:35:4E:80;;13;No;WPA2,AES-CCM;No;360.0;0;7;0;0;0;0;0;;;Mon Mar 18 23:30:55 2024;Mon Mar 18 23:31:13 2024;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;VTR-3584038;E4:57:40:FF:0B:E1;;11;No;WPA2,AES-CCM;No;130.0;0;10;0;1;0;0;1;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:20 2024;-37;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Gabriel ;60:32:B1:EE:FA:38;;11;No;WPA2,AES-CCM;No;270.0;0;1;0;0;0;0;0;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:17 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Estefanie;CC:D4:A1:6D:D7:98;;11;No;WPA2,AES-CCM;No;130.0;0;4;0;2;0;0;2;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:17 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;8C:5A:25:2E:7D:6A;;6;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:17 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Elbarty;CC:ED:DC:5F:2B:19;;6;No;WPA2,AES-CCM;No;130.0;0;10;0;0;0;0;0;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:17 2024;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Trinidad;D0:B6:6F:5E:8D:C8;;6;No;WPA2,AES-CCM;No;130.0;0;8;0;2;0;0;2;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:17 2024;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;FRIDAKALO;40:0D:10:CE:82:B9;;6;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Mon Mar 18 23:30:59 2024;Mon Mar 18 23:31:17 2024;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;FE:12:63:CB:C4:EF;;1;No;WPA,None;No;-1.0;0;0;0;4;0;0;4;;;Mon Mar 18 23:31:00 2024;Mon Mar 18 23:31:00 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;VTR-7759815;48:D3:43:3C:90:11;;6;No;WPA2,AES-CCM;No;130.0;0;0;0;0;0;0;0;;;Mon Mar 18 23:31:05 2024;Mon Mar 18 23:31:05 2024;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;;B8:5E:71:A3:E9:81;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Mar 18 23:31:12 2024;Mon Mar 18 23:31:12 2024;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
